491770.7, 4290554.8, -746.51713335481
491774.38125, 4290554.8, -754.02995189418
491778.0625, 4290554.8, -745.89467166045
491781.74375, 4290554.8, -734.13930498389
491785.425, 4290554.8, -749.80394513107
491789.10625, 4290554.8, -774.43428740581
491792.7875, 4290554.8, -800.74259217668
491796.46875, 4290554.8, -799.50780536608
491800.15, 4290554.8, -789.83483211008
491803.83125, 4290554.8, -744.41466936181
491807.5125, 4290554.8, -689.93154313603
491811.19375, 4290554.8, -671.06849719377
491906.90625, 4290554.8, -613.08077158479
491910.5875, 4290554.8, -885.54501518508
491914.26875, 4290554.8, -884.44839649924
491917.95, 4290554.8, -860.91230386733
491921.63125, 4290554.8, -909.80772073774
491925.3125, 4290554.8, -869.14083249145
491928.99375, 4290554.8, -854.47898724073
491932.675, 4290554.8, -844.16164757769
491936.35625, 4290554.8, -818.49487313196
491940.0375, 4290554.8, -809.01180913332
491943.71875, 4290554.8, -802.45965362427
491947.4, 4290554.8, -926.74873460435
492006.3, 4290554.8, -1597.1746632716
491770.7, 4290558.4929394, -722.31520846443
491774.38125, 4290558.4929394, -733.57524070869
491778.0625, 4290558.4929394, -738.92491881267
491781.74375, 4290558.4929394, -730.13611371953
491785.425, 4290558.4929394, -712.16251202636
491789.10625, 4290558.4929394, -762.3642659379
491792.7875, 4290558.4929394, -802.79212536389
491796.46875, 4290558.4929394, -788.92371292229
491800.15, 4290558.4929394, -780.02381699434
491803.83125, 4290558.4929394, -755.74405393683
491807.5125, 4290558.4929394, -692.88840379365
491811.19375, 4290558.4929394, -635.24485605129
491906.90625, 4290558.4929394, -627.32717828218
491910.5875, 4290558.4929394, -867.93944502111
491914.26875, 4290558.4929394, -902.71199455794
491917.95, 4290558.4929394, -880.06435111927
491921.63125, 4290558.4929394, -914.18308792002
491925.3125, 4290558.4929394, -877.97945620786
491928.99375, 4290558.4929394, -855.60468610141
491932.675, 4290558.4929394, -842.7154715614
491936.35625, 4290558.4929394, -818.87195913285
491940.0375, 4290558.4929394, -807.71206185852
491943.71875, 4290558.4929394, -801.37178099403
491947.4, 4290558.4929394, -891.42263435185
492006.3, 4290558.4929394, -1562.4351378258
491770.7, 4290562.1858788, -691.92997737234
491774.38125, 4290562.1858788, -693.0602345978
491778.0625, 4290562.1858788, -707.88176090303
491781.74375, 4290562.1858788, -707.79862196629
491785.425, 4290562.1858788, -681.70939000617
491789.10625, 4290562.1858788, -760.44353194267
491792.7875, 4290562.1858788, -750.85342743416
491796.46875, 4290562.1858788, -738.69306688136
491800.15, 4290562.1858788, -764.8790060574
491803.83125, 4290562.1858788, -710.23428036812
491807.5125, 4290562.1858788, -655.69117998823
491811.19375, 4290562.1858788, -597.03982359611
491906.90625, 4290562.1858788, -643.18111539283
491910.5875, 4290562.1858788, -864.35970405675
491914.26875, 4290562.1858788, -890.79690367028
491917.95, 4290562.1858788, -898.72774098471
491921.63125, 4290562.1858788, -915.72462435364
491925.3125, 4290562.1858788, -884.73904989349
491928.99375, 4290562.1858788, -854.16617741445
491932.675, 4290562.1858788, -836.43037641323
491936.35625, 4290562.1858788, -815.70609893449
491940.0375, 4290562.1858788, -803.34320243839
491943.71875, 4290562.1858788, -798.29752384044
491947.4, 4290562.1858788, -881.70508243305
492006.3, 4290562.1858788, -1567.6806552236
491770.7, 4290565.8788182, -650.76424067117
491774.38125, 4290565.8788182, -641.66257068531
491778.0625, 4290565.8788182, -678.50430137502
491781.74375, 4290565.8788182, -671.68788186908
491785.425, 4290565.8788182, -637.43805580705
491789.10625, 4290565.8788182, -700.55397675405
491792.7875, 4290565.8788182, -696.80031415635
491796.46875, 4290565.8788182, -681.93677929946
491800.15, 4290565.8788182, -765.59118458422
491803.83125, 4290565.8788182, -606.84361461804
491807.5125, 4290565.8788182, -623.80721526928
491811.19375, 4290565.8788182, -571.4830603147
491906.90625, 4290565.8788182, -658.4918098918
491910.5875, 4290565.8788182, -852.07470564981
491914.26875, 4290565.8788182, -888.64551346021
491917.95, 4290565.8788182, -904.13304883478
491921.63125, 4290565.8788182, -913.41237859111
491925.3125, 4290565.8788182, -886.12346970814
491928.99375, 4290565.8788182, -849.77414633365
491932.675, 4290565.8788182, -833.39179796256
491936.35625, 4290565.8788182, -808.99362106546
491940.0375, 4290565.8788182, -792.87688040429
491943.71875, 4290565.8788182, -795.47230670656
491947.4, 4290565.8788182, -876.63935402629
492006.3, 4290565.8788182, -1510.819535909
491770.7, 4290569.5717576, -605.43105506841
491774.38125, 4290569.5717576, -613.78900150528
491778.0625, 4290569.5717576, -625.06596291614
491781.74375, 4290569.5717576, -611.24133220977
491785.425, 4290569.5717576, -584.65769846559
491789.10625, 4290569.5717576, -604.82556288942
491792.7875, 4290569.5717576, -612.31302547825
491796.46875, 4290569.5717576, -594.69232527521
491800.15, 4290569.5717576, -658.52985259894
491803.83125, 4290569.5717576, -514.2341194876
491807.5125, 4290569.5717576, -528.12046828504
491811.19375, 4290569.5717576, -453.76276232976
491903.225, 4290569.5717576, -492.68928227466
491906.90625, 4290569.5717576, -698.69402907593
491910.5875, 4290569.5717576, -845.09238096597
491914.26875, 4290569.5717576, -908.78438628851
491917.95, 4290569.5717576, -925.80541029921
491921.63125, 4290569.5717576, -912.06780740825
491925.3125, 4290569.5717576, -897.25072347861
491928.99375, 4290569.5717576, -815.90557823735
491932.675, 4290569.5717576, -828.79673593725
491936.35625, 4290569.5717576, -794.51495890807
491940.0375, 4290569.5717576, -771.33234427064
491943.71875, 4290569.5717576, -784.05126833659
491947.4, 4290569.5717576, -873.62326389453
